Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
1,207635,20 Microns Ltd.,533022,20MICRONS,20ML IN,MICR.BO,Listed,INE144J01027,L99999GJ1987PLC009768,Mining & Minerals
2,224943,20 Microns Nano Minerals Ltd.,,,,,Listed,,U15543GJ1993PLC020540,Mining & Minerals
3,126921,21st Century Management Services Ltd.,526921,21STCENMGM,TWCMS IN,TWMS.BO,Listed,INE253B01015,L74210TN1986PLC012791,Finance - Investment
4,132628,3I Infotech Ltd.,532628,3IINFOTECH,III IN,TIIN.BO,Listed,INE748C01020,L67120MH1993PLC074411,IT - Software 
5,123395,3M India Ltd.,523395,3MINDIA,3M IN,TMIN.BO,Listed,INE470A01017,L31300KA1987PLC013543,Diversified
6,116092,3P Land Holdings Ltd.,516092,3PLAND,3PLAND IN,PUDU.BO,Listed,INE105C01023,L74999MH1999PLC013394,Paper & Paper Products
7,272007,3rd Rock Multimedia Ltd.,,3RDROCK,3RML IN,3RDR.BO,Listed,INE768P01012,U74900MH2012PLC230802,Miscellaneous
8,131925,52 Weeks Entertainment Ltd.,531925,,SSAQ IN,SSAL.BO,Listed,INE545N01019,L93000MH1993PLC072467,"Film Production, Distribution & Entertainment"
9,228972,5Paisa Capital Ltd.,540776,5PAISA,5PAISA IN,PAISF.BO,Listed,INE618L01018,L67190MH2007PLC289249,Finance - Stock Broking
10,126881,63 Moons Technologies Ltd.,526881,63MOONS,63MOONS IN,FITE.BO,Listed,INE111B01023,L29142TN1988PLC015586,IT - Software 
11,285855,7NR Retail Ltd.,540615,,7NR IN,NRRE.BO,Listed,INE413X01019,U52320GJ2012PLC073076,Trading
12,211528,7Seas Entertainment Ltd.,540874,,7SEAS IN,SEAS.BO,Listed,INE454F01010,L72900TG1991PLC013074,IT - Software 
13,112161,8K Miles Software Services Ltd.,512161,8KMILES,KMSS IN,8KMS.BO,Listed,INE650K01021,L72300AP1993PLC015804,IT - Software 
14,288322,A And M Jumbo Bags Ltd.,,AMJUMBO,AMJUMBO IN,AMJU.BO,Listed,INE749Y01014,U25202GJ2011PLC065632,Plastic Products
15,207644,A Infrastructure Ltd.,539620,,AINFRA IN,AINF.BO,Listed,INE534E01020,L25191RJ1980PLC002077,Cement & Construction Materials
